Case,Timestamp,Activity,Activity_fixed,label
2838476,2010-12-16 08:00:01,registebr date environmental permit decision,registebr date environmental permit decision,distorted label(Insert)
2874224,2010-11-24 08:00:05,enter senddate procedure confirkation,enter senddate procedure confirkation,distorted label(Proximity)
2879904,2011-01-19 08:00:02,enter senddate procedurQe confirmation,enter senddate procedure confirkation,distorted label(Insert)
2887729,2011-10-28 18:03:23,Regular procedure without MER,Regular procedure without MER,distorted label(UpLow)
2887729,2011-10-28 18:03:29,aplicant is stakeholder,aplicant is stakeholder,distorted label(Skip)
2902319,2011-02-08 18:07:21,request complet,request complet,distorted label(Skip)
2931527,2010-12-15 08:00:12,enter senddate procdeure confirmation,enter senddate procdeure confirmation,distorted label(Interchange)
2952306,2010-12-23 08:00:09,enter senddate procedure vonfirmation,enter senddate procedure confirkation,distorted label(Proximity)
2953434,2011-02-14 08:00:01,Register date environmental permit decision,registebr date environmental permit decision,distorted label(UpLow)
2985791,2011-02-28 08:00:02,registrer date of publishing rceived request,registrer date of publishing rceived request,distorted label(Skip)
3019065,2011-01-20 08:00:01,enter senddate acknowledegment,enter senddate acknowledegment,distorted label(Interchange)
3084709,2011-02-23 08:00:13,Register date environmental permit decision,registebr date environmental permit decision,distorted label(UpLow)
3097714,2011-01-31 08:00:05,ented senddate acknowledgement,ented senddate acknowledgement,distorted label(Proximity)
3113605,2011-02-22 08:00:11,enter senddate procedure cofirmation,enter senddate procedure confirkation,distorted label(Skip)
3113605,2011-03-16 20:42:27,Request complete,request complet,distorted label(UpLow)
3115575,2011-02-03 08:00:04,enter senddate acknowledgdment,ented senddate acknowledgement,distorted label(Proximity)
3130787,2011-02-22 08:00:17,enter senddate procedure confitmation,enter senddate procedure confirkation,distorted label(Proximity)
3130787,2011-05-09 07:00:01,regDister deadline,regDister deadline,distorted label(Insert)
3151204,2011-02-14 08:00:15,enter senddate cknowledgement,ented senddate acknowledgement,distorted label(Skip)
3151204,2011-03-16 08:00:15,Enter senddate procedure confirmation,enter senddate procedure confirkation,distorted label(UpLow)
3197502,2011-04-06 07:00:06,enter date publication decision environmmental permit,enter date publication decision environmmental permit,distorted label(Insert)
3207862,2011-04-13 07:00:10,enter senddate procedure confirmstion,enter senddate procedure confirkation,distorted label(Proximity)
3225456,2011-02-18 08:00:04,register submission dater equest,register submission dater equest,distorted label(Interchange)
3232189,2012-03-28 07:00:01,Register date decision terminate on request,Register date decision terminate on request,distorted label(UpLow)
