Case,Timestamp,Activity,Activity_fixed,label
1002,2023-11-28 06:55:51.615,notQify reject,notQify reject,distorted label(Insert)
1010,2023-11-28 14:39:05.514,new online application received,new online application received,distorted label(UpLow)
1010,2023-11-28 17:15:09.507,Perfor mchecks,Perfor mchecks,distorted label(Interchange)
1015,2023-11-28 20:04:36.439,review request recevied,review request recevied,distorted label(Interchange)
1015,2023-11-28 20:22:44.895,Info received,Info received,distorted label(UpLow)
1029,2023-11-29 07:17:42.075,Requset info,Requset info,distorted label(Interchange)
1032,2023-11-29 11:25:46.395,Perfor checks,Perfor checks,distorted label(Skip)
1037,2023-11-29 13:39:17.731,Requesft info,Requesft info,distorted label(Insert)
1037,2023-11-29 13:42:17.217,infwo received,infwo received,distorted label(Insert)
1045,2023-11-29 20:13:23.490,Check for copmleteness,Check for copmleteness,distorted label(Interchange)
1046,2023-11-29 20:20:32.292,perform checks,perform checks,distorted label(UpLow)
1049,2023-11-30 02:01:44.480,New online application rceived,new online application received,distorted label(Skip)
105,2023-10-04 23:12:10.570,New online applicatiZon received,new online application received,distorted label(Insert)
1059,2023-11-30 16:55:03.408,Mae decision,Mae decision,distorted label(Skip)
1061,2023-11-30 18:04:45.401,EVWNT 13 END,EVWNT 13 END,distorted label(Proximity)
1064,2023-11-30 19:30:58.531,New online application receivdd,new online application received,distorted label(Proximity)
1064,2023-11-30 20:13:33.969,Delievr card,Delievr card,distorted label(Interchange)
1066,2023-11-30 20:23:47.530,request info,request info,distorted label(UpLow)
1066,2023-11-30 21:53:44.422,eVENT 13 END,eVENT 13 END,distorted label(UpLow)
1073,2023-12-01 05:03:53.350,info recFeived,info recFeived,distorted label(Insert)
1075,2023-12-01 03:56:33.498,Perform cbecks,Perform cbecks,distorted label(Proximity)
108,2023-10-05 00:33:18.412,Info received,Info received,distorted label(UpLow)
1080,2023-12-01 08:01:19.974,Check for compZleteness,Check for compZleteness,distorted label(Insert)
109,2023-10-05 00:13:46.626,review reqest received,review reqest received,distorted label(Skip)
1099,2023-12-04 01:16:19.566,Perform checs,perform checks,distorted label(Skip)
1101,2023-12-04 01:06:19.315,EVEJT 13 END,EVEJT 13 END,distorted label(Proximity)
111,2023-10-05 01:02:25.994,Check for ocmpleteness,Check for ocmpleteness,distorted label(Interchange)
111,2023-10-05 02:18:26.292,Perforh checks,Perforh checks,distorted label(Proximity)
